Numéro APE,Nom,Inclus dans la classe,Non inclus dans la classe
01.11Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses","<ul class=""list1"">
            <li>
                <p>la culture de céréales telles que :</p>
                <ul class=""list1"">
                    <li>
                        <p>blé</p>
                    </li>
                    <li>
                        <p>maïs-grain</p>
                    </li>
                    <li>
                        <p>sorgho</p>
                    </li>
                    <li>
                        <p>orge</p>
                    </li>
                    <li>
                        <p>seigle</p>
                    </li>
                    <li>
                        <p>avoine</p>
                    </li>
                    <li>
                        <p>millet</p>
                    </li>
                    <li>
                        <p>autres céréales n.c.a.</p>
                    </li>
                </ul>
            </li>
            <li>
                <p>la culture de légumineuses telles que :</p>
                <ul class=""list1"">
                    <li>
                        <p>haricots</p>
                    </li>
                    <li>
                        <p>fèves</p>
                    </li>
                    <li>
                        <p>pois chiches</p>
                    </li>
                    <li>
                        <p>pois à vache</p>
                    </li>
                    <li>
                        <p>lentilles</p>
                    </li>
                    <li>
                        <p>lupins</p>
                    </li>
                    <li>
                        <p>pois</p>
                    </li>
                    <li>
                        <p>pois cajans</p>
                    </li>
                    <li>
                        <p>autres légumineuses</p>
                    </li>
                </ul>
            </li>
            <li>
                <p>la culture de graines oléagineuses telles que :</p>
                <ul class=""list1"">
                    <li>
                        <p>graines de soja</p>
                    </li>
                    <li>
                        <p>arachides</p>
                    </li>
                    <li>
                        <p>graines de ricin</p>
                    </li>
                    <li>
                        <p>graines de lin</p>
                    </li>
                    <li>
                        <p>graines de moutarde</p>
                    </li>
                    <li>
                        <p>graines de niger</p>
                    </li>
                    <li>
                        <p>graines de colza</p>
                    </li>
                    <li>
                        <p>graines de carthame</p>
                    </li>
                    <li>
                        <p>graines de sésame</p>
                    </li>
                    <li>
                        <p>graines de tournesol</p>
                    </li>
                    <li>
                        <p>autres graines oléagineuses</p>
                    </li>
                </ul>
            </li>
        </ul><ul class=""list1"">
                    <li>
                        <p>blé</p>
                    </li>
                    <li>
                        <p>maïs-grain</p>
                    </li>
                    <li>
                        <p>sorgho</p>
                    </li>
                    <li>
                        <p>orge</p>
                    </li>
                    <li>
                        <p>seigle</p>
                    </li>
                    <li>
                        <p>avoine</p>
                    </li>
                    <li>
                        <p>millet</p>
                    </li>
                    <li>
                        <p>autres céréales n.c.a.</p>
                    </li>
                </ul><ul class=""list1"">
                    <li>
                        <p>haricots</p>
                    </li>
                    <li>
                        <p>fèves</p>
                    </li>
                    <li>
                        <p>pois chiches</p>
                    </li>
                    <li>
                        <p>pois à vache</p>
                    </li>
                    <li>
                        <p>lentilles</p>
                    </li>
                    <li>
                        <p>lupins</p>
                    </li>
                    <li>
                        <p>pois</p>
                    </li>
                    <li>
                        <p>pois cajans</p>
                    </li>
                    <li>
                        <p>autres légumineuses</p>
                    </li>
                </ul><ul class=""list1"">
                    <li>
                        <p>graines de soja</p>
                    </li>
                    <li>
                        <p>arachides</p>
                    </li>
                    <li>
                        <p>graines de ricin</p>
                    </li>
                    <li>
                        <p>graines de lin</p>
                    </li>
                    <li>
                        <p>graines de moutarde</p>
                    </li>
                    <li>
                        <p>graines de niger</p>
                    </li>
                    <li>
                        <p>graines de colza</p>
                    </li>
                    <li>
                        <p>graines de carthame</p>
                    </li>
                    <li>
                        <p>graines de sésame</p>
                    </li>
                    <li>
                        <p>graines de tournesol</p>
                    </li>
                    <li>
                        <p>autres graines oléagineuses</p>
                    </li>
                </ul>","<ul class=""list1"">
            <li>
                <p>la culture du riz (cf. 
                    <a href=""/fr/metadonnees/nafr2/sousClasse/01.12Z"">01.12Z</a>)</p>
            </li>
            <li>
                <p>la culture du maïs doux (cf. 
                    <a href=""/fr/metadonnees/nafr2/sousClasse/01.13Z"">01.13Z</a>)</p>
            </li>
            <li>
                <p>la culture du maïs fourrager (cf. 
                    <a href=""/fr/metadonnees/nafr2/sousClasse/01.19Z"">01.19Z</a>)</p>
            </li>
            <li>
                <p>la culture de fruits oléagineux (cf. 
                    <a href=""/fr/metadonnees/nafr2/sousClasse/01.26Z"">01.26Z</a>)</p>
            </li>
        </ul>"
01.12Z,Culture du riz,"<ul class=""list1"">
            <li>
                <p>la culture du riz</p>
            </li>
        </ul>",""
01.13Z,"Culture de légumes, de melons, de racines et de tubercules","<ul class=""list1"">
            <li>
                <p>la culture des légumes à feuilles et à tiges, tels que :</p>
                <ul class=""list1"">
                    <li>
                        <p>artichauts</p>
                    </li>
                    <li>
                        <p>asperges</p>
                    </li>
                    <li>
                        <p>choux</p>
                    </li>
                    <li>
                        <p>choux-fleurs et brocolis</p>
                    </li>
                    <li>
                        <p>laitues et chicorées</p>
                    </li>
                    <li>
                        <p>épinards</p>
                    </li>
                    <li>
                        <p>autres légumes à feuilles et à tiges</p>
                    </li>
                </ul>
            </li>
            <li>
                <p>la culture de plantes cultivées pour leurs fruits, telles que :</p>
                <ul class=""list1"">
                    <li>
                        <p>concombres et cornichons</p>
                    </li>
                    <li>
                        <p>aubergines</p>
                    </li>
                    <li>
                        <p>tomates</p>
                    </li>
                    <li>
                        <p>pastèques</p>
                    </li>
                    <li>
                        <p>melons cantaloups</p>
                    </li>
                    <li>
                        <p>autres melons et plantes cultivées pour leurs fruits :</p>
                    </li>
                </ul>
            </li>
            <li>
                <p>la culture des légumes à racines, à bulbes ou à tubercules, tels que :</p>
                <ul class=""list1"">
                    <li>
                        <p>carottes</p>
                    </li>
                    <li>
                        <p>navets</p>
                    </li>
                    <li>
                        <p>ail</p>
                    </li>
                    <li>
                        <p>oignons (et échalotes)</p>
                    </li>
                    <li>
                        <p>poireaux et autres légumes alliacés</p>
                    </li>
                    <li>
                        <p>autres légumes à racines, à bulbes ou à tubercules</p>
                    </li>
                </ul>
            </li>
            <li>
                <p>la culture des champignons et des truffes</p>
            </li>
            <li>
                <p>la production de semences de légumes, y compris de graines de betteraves sucrières, à l'exclusion des graines d'autres betteraves</p>
            </li>
            <li>
                <p>la culture des betteraves sucrières</p>
            </li>
            <li>
                <p>la culture d'autres légumes</p>
            </li>
            <li>
                <p>la culture de racines et de tubercules, tels que :</p>
                <ul class=""list1"">
                    <li>
                        <p>pommes de terre</p>
                    </li>
                    <li>
                        <p>patates douces</p>
                    </li>
                    <li>
                        <p>manioc</p>
                    </li>
                    <li>
                        <p>ignames</p>
                    </li>
                    <li>
                        <p>autres racines et tubercules</p>
                    </li>
                </ul>
            </li>
        </ul><ul class=""list1"">
                    <li>
                        <p>artichauts</p>
                    </li>
                    <li>
                        <p>asperges</p>
                    </li>
                    <li>
                        <p>choux</p>
                    </li>
                    <li>
                        <p>choux-fleurs et brocolis</p>
                    </li>
                    <li>
                        <p>laitues et chicorées</p>
                    </li>
                    <li>
                        <p>épinards</p>
                    </li>
                    <li>
                        <p>autres légumes à feuilles et à tiges</p>
                    </li>
                </ul><ul class=""list1"">
                    <li>
                        <p>concombres et cornichons</p>
                    </li>
                    <li>
                        <p>aubergines</p>
                    </li>
                    <li>
                        <p>tomates</p>
                    </li>
                    <li>
                        <p>pastèques</p>
                    </li>
                    <li>
                        <p>melons cantaloups</p>
                    </li>
                    <li>
                        <p>autres melons et plantes cultivées pour leurs fruits :</p>
                    </li>
                </ul><ul class=""list1"">
                    <li>
                        <p>carottes</p>
                    </li>
                    <li>
                        <p>navets</p>
                    </li>
                    <li>
                        <p>ail</p>
                    </li>
                    <li>
                        <p>oignons (et échalotes)</p>
                    </li>
                    <li>
                        <p>poireaux et autres légumes alliacés</p>
                    </li>
                    <li>
                        <p>autres légumes à racines, à bulbes ou à tubercules</p>
                    </li>
                </ul><ul class=""list1"">
                    <li>
                        <p>pommes de terre</p>
                    </li>
                    <li>
                        <p>patates douces</p>
                    </li>
                    <li>
                        <p>manioc</p>
                    </li>
                    <li>
                        <p>ignames</p>
                    </li>
                    <li>
                        <p>autres racines et tubercules</p>
                    </li>
                </ul>","<ul class=""list1"">
            <li>
                <p>la culture de piments, de poivrons et d'autres plantes à épices et aromatiques (cf. 
                    <a href=""/fr/metadonnees/nafr2/sousClasse/01.28Z"">01.28Z</a>)</p>
            </li>
            <li>
                <p>la culture de blanc de champignons (cf. 
                    <a href=""/fr/metadonnees/nafr2/sousClasse/01.30Z"">01.30Z</a>)</p>
            </li>
        </ul>"
01.14Z,Culture de la canne à sucre,"<ul class=""list1"">
            <li>
                <p>la culture de la canne à sucre</p>
            </li>
        </ul>","<ul class=""list1"">
            <li>
                <p>la culture de betteraves sucrières (cf. 
                    <a href=""/fr/metadonnees/nafr2/sousClasse/01.13Z"">01.13Z</a>)</p>
            </li>
        </ul>"
01.15Z,Culture du tabac,"<ul class=""list1"">
            <li>
                <p>la culture du tabac</p>
            </li>
        </ul>","<ul class=""list1"">
            <li>
                <p>la fabrication de produits à base de tabac (cf. 
                    <a href=""/fr/metadonnees/nafr2/sousClasse/12.00Z"">12.00Z</a>)</p>
            </li>
        </ul>"
01.16Z,Culture de plantes à fibres,"<ul class=""list1"">
            <li>
                <p>la culture du coton</p>
            </li>
            <li>
                <p>la culture de jute, de kenaf et d'autres fibres textiles libériennes</p>
            </li>
            <li>
                <p>la culture de lin ou de chanvre</p>
            </li>
            <li>
                <p>la culture de sisal et d'autres fibres textiles du genre agave</p>
            </li>
            <li>
                <p>la culture de l'abaca, de la ramie et d'autres fibres textiles végétales</p>
            </li>
            <li>
                <p>la culture d'autres plantes à fibres</p>
            </li>
        </ul>",""
01.19Z,Autres cultures non permanentes,"<ul class=""list1"">
            <li>
                <p>la culture de rutabagas, betteraves fourragères, racines fourragères, luzerne, trèfle, sainfoin, maïs fourrager, choux fourragers et autres produits fourragers similaires</p>
            </li>
            <li>
                <p>la production de graines de betteraves fourragères et de graines de plantes fourragères</p>
            </li>
            <li>
                <p>la culture de fleurs, y compris la production de fleurs coupées et de boutons de fleurs</p>
            </li>
            <li>
                <p>la production de semences de fleurs</p>
            </li>
        </ul>","<ul class=""list1"">
            <li>
                <p>la production de graines de betteraves sucrières (cf. 
                    <a href=""/fr/metadonnees/nafr2/sousClasse/01.13Z"">01.13Z</a>)</p>
            </li>
            <li>
                <p>les cultures non permanentes de plantes à épices, aromatiques, médicinales et pharmaceutiques (cf. 
                    <a href=""/fr/metadonnees/nafr2/sousClasse/01.28Z"">01.28Z</a>)</p>
            </li>
            <li>
                <p>la culture de plantes fleuries ou de fleurs en pot (cf. 
                    <a href=""/fr/metadonnees/nafr2/sousClasse/01.30Z"">01.30Z</a>)</p>
            </li>
        </ul>"
01.21Z,Culture de la vigne,"<ul class=""list1"">
            <li>
                <p>la production de raisins de cuve et de raisins de table dans des vignobles</p>
            </li>
        </ul>","<ul class=""list1"">
            <li>
                <p>la production de vins (cf. 
                    <a href=""/fr/metadonnees/nafr2/classe/11.02"">11.02</a>)</p>
            </li>
        </ul>"
01.27Z,Culture de plantes à boissons,"<ul class=""list1"">
            <li>
                <p>la culture de plantes à boissons :</p>
                <ul class=""list1"">
                    <li>
                        <p>café</p>
                    </li>
                    <li>
                        <p>thé</p>
                    </li>
                    <li>
                        <p>maté</p>
                    </li>
                    <li>
                        <p>cacao</p>
                    </li>
                    <li>
                        <p>autres plantes à boissons</p>
                    </li>
                </ul>
            </li>
        </ul><ul class=""list1"">
                    <li>
                        <p>café</p>
                    </li>
                    <li>
                        <p>thé</p>
                    </li>
                    <li>
                        <p>maté</p>
                    </li>
                    <li>
                        <p>cacao</p>
                    </li>
                    <li>
                        <p>autres plantes à boissons</p>
                    </li>
                </ul>",""
47.54Z,Commerce de détail d'appareils électroménagers en magasin spécialisé,"","<ul class=""list1"">
            <li>
                <p>le commerce de détail d'appareils audio et vidéo (cf. 
                    <a href=""/fr/metadonnees/nafr2/sousClasse/47.43Z"">47.43Z</a>)</p>
            </li>
        </ul>"
